"GSM_ID","Title","Phenotype","Cell_Line","Group"
"GSM8579185","SAMRES1","Samuraciclib-Resistant","22Rv1 Samuraciclib-resistant","Resistant"
"GSM8579186","SAMRES2","Samuraciclib-Resistant","22Rv1 Samuraciclib-resistant","Resistant"
"GSM8579187","SAMRES3","Samuraciclib-Resistant","22Rv1 Samuraciclib-resistant","Resistant"
"GSM8579188","SAMRES4","Samuraciclib-Resistant","22Rv1 Samuraciclib-resistant","Resistant"
"GSM8579189","SAMRES5","Samuraciclib-Resistant","22Rv1 Samuraciclib-resistant","Resistant"
"GSM8579190","SAMRES6","Samuraciclib-Resistant","22Rv1 Samuraciclib-resistant","Resistant"
"GSM8579191","SAMSEN1","Samuraciclib-Sensitive","22Rv1","Sensitive"
"GSM8579192","SAMSEN2","Samuraciclib-Sensitive","22Rv1","Sensitive"
"GSM8579193","SAMSEN3","Samuraciclib-Sensitive","22Rv1","Sensitive"
"GSM8579194","SAMSEN4","Samuraciclib-Sensitive","22Rv1","Sensitive"
"GSM8579195","SAMSEN5","Samuraciclib-Sensitive","22Rv1","Sensitive"
"GSM8579196","SAMSEN6","Samuraciclib-Sensitive","22Rv1","Sensitive"
