"Cancer_Type","Dataset","Regulation","Input_Class","Selection_Criterion","Input_Gene_Count","Mapped_Gene_Count","Unmapped_Gene_Count","STRING_Network_Nodes","STRING_Network_Edges","Average_Node_Degree","Average_Local_Clustering_Coefficient","Expected_Number_of_Edges","PPI_Enrichment_P_Value","STRING_Required_Score","STRING_Confidence_Category","STRING_Network_Type","Added_Interaction_Partners","Species","NCBI_Taxon_ID","STRING_Version","Analysis_Status"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,56,13,56,16,0.57,0.265,2,4.76e-11,700,"High confidence","functional",0,"Homo sapiens",9606,"12.0","Completed"
"Breast cancer","GSE173839","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",83,52,31,52,27,1.04,0.142,1,0,700,"High confidence","functional",0,"Homo sapiens",9606,"12.0","Completed"
"Lung cancer","GSE33072","Upregulated","Exploratory_Candidates","Raw P < 0.05; |log2FC| >= 0.5",107,95,12,95,8,0.17,0.105,3,0.0051,700,"High confidence","functional",0,"Homo sapiens",9606,"12.0","Completed"
"Lung cancer","GSE33072","Downregulated","Exploratory_Candidates","Raw P < 0.05; |log2FC| >= 0.5",20,19,1,19,3,0.32,0.316,0,0.00043,700,"High confidence","functional",0,"Homo sapiens",9606,"12.0","Completed"
"Melanoma","GSE99898","Upregulated","Exploratory_Candidates","Raw P < 0.05; |log2FC| >= 1.0",4,4,0,4,0,0,0,0,1,700,"High confidence","functional",0,"Homo sapiens",9606,"12.0","Completed"
"Melanoma","GSE99898","Downregulated","Exploratory_Candidates","Raw P < 0.05; |log2FC| >= 1.0",25,24,1,24,1,0.08,0.083,1,0.5013,700,"High confidence","functional",0,"Homo sapiens",9606,"12.0","Completed"
"Ovarian cancer","GSE156699","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",223,89,134,89,22,0.49,0.223,13,0.0186,700,"High confidence","functional",0,"Homo sapiens",9606,"12.0","Completed"
"Ovarian cancer","GSE156699","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",1270,791,479,791,379,0.96,0.281,346,0.0401,700,"High confidence","functional",0,"Homo sapiens",9606,"12.0","Completed"
"Prostate cancer","GSE279730","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",355,275,80,275,77,0.56,0.19,35,7.57e-10,700,"High confidence","functional",0,"Homo sapiens",9606,"12.0","Completed"
"Prostate cancer","GSE279730","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",505,357,148,357,162,0.91,0.241,38,0,700,"High confidence","functional",0,"Homo sapiens",9606,"12.0","Completed"
"Small-cell lung cancer","GSE188705","Upregulated","Exploratory_Candidates","Raw P < 0.05; |log2FC| >= 0.5",130,91,39,91,18,0.4,0.202,9,0.0044,700,"High confidence","functional",0,"Homo sapiens",9606,"12.0","Completed"
"Small-cell lung cancer","GSE188705","Downregulated","Exploratory_Candidates","Raw P < 0.05; |log2FC| >= 0.5",67,41,26,41,2,0.1,0.098,1,0.2794,700,"High confidence","functional",0,"Homo sapiens",9606,"12.0","Completed"
