Gene_Symbol,Cancer_Type,TISCH_Dataset,Cell_Type,Expression_Value,Included_In_Main_Figure
GATA3,Breast cancer,BRCA_GSE176078,CD4Tconv,0.56,True
GATA3,Breast cancer,BRCA_GSE176078,Trprolif,0.86,True
GATA3,Breast cancer,BRCA_GSE176078,CD8Tex,0.8,True
GATA3,Breast cancer,BRCA_GSE176078,B,0.11,True
GATA3,Breast cancer,BRCA_GSE176078,Plasma,0.02,True
GATA3,Breast cancer,BRCA_GSE176078,DC,0.07,True
GATA3,Breast cancer,BRCA_GSE176078,Mono/Macro,0.05,True
GATA3,Breast cancer,BRCA_GSE176078,Endothelial,0.08,True
GATA3,Breast cancer,BRCA_GSE176078,Fibroblasts,0.06,True
GATA3,Breast cancer,BRCA_GSE176078,SMC,0.1,True
GATA3,Breast cancer,BRCA_GSE176078,Malignant,1.45,True
AGR2,Breast cancer,BRCA_GSE176078,CD4Tconv,0.02,True
AGR2,Breast cancer,BRCA_GSE176078,Trprolif,0.03,True
AGR2,Breast cancer,BRCA_GSE176078,CD8Tex,0.04,True
AGR2,Breast cancer,BRCA_GSE176078,B,0.06,True
AGR2,Breast cancer,BRCA_GSE176078,Plasma,0.03,True
AGR2,Breast cancer,BRCA_GSE176078,DC,0.02,True
AGR2,Breast cancer,BRCA_GSE176078,Mono/Macro,0.07,True
AGR2,Breast cancer,BRCA_GSE176078,Endothelial,0.18,True
AGR2,Breast cancer,BRCA_GSE176078,Fibroblasts,0.07,True
AGR2,Breast cancer,BRCA_GSE176078,SMC,0.27,True
AGR2,Breast cancer,BRCA_GSE176078,Malignant,1.68,True
JAG1,Lung cancer,NSCLC_GSE131907,CD4Tconv,0.0,True
JAG1,Lung cancer,NSCLC_GSE131907,CD8T,0.01,True
JAG1,Lung cancer,NSCLC_GSE131907,CD8Tex,0.01,True
JAG1,Lung cancer,NSCLC_GSE131907,B,0.0,True
JAG1,Lung cancer,NSCLC_GSE131907,Plasma,0.08,True
JAG1,Lung cancer,NSCLC_GSE131907,DC,0.06,True
JAG1,Lung cancer,NSCLC_GSE131907,Mono/Macro,0.04,True
JAG1,Lung cancer,NSCLC_GSE131907,Mast,0.02,True
JAG1,Lung cancer,NSCLC_GSE131907,Endothelial,0.35,True
JAG1,Lung cancer,NSCLC_GSE131907,Fibroblasts,0.32,True
JAG1,Lung cancer,NSCLC_GSE131907,Epithelial,0.08,True
JAG1,Lung cancer,NSCLC_GSE131907,Oligodendrocyte,0.04,True
TMPRSS2,Lung cancer,NSCLC_GSE131907,CD4Tconv,0.0,False
TMPRSS2,Lung cancer,NSCLC_GSE131907,CD8T,0.01,False
TMPRSS2,Lung cancer,NSCLC_GSE131907,CD8Tex,0.0,False
TMPRSS2,Lung cancer,NSCLC_GSE131907,B,0.0,False
TMPRSS2,Lung cancer,NSCLC_GSE131907,Plasma,0.01,False
TMPRSS2,Lung cancer,NSCLC_GSE131907,DC,0.0,False
TMPRSS2,Lung cancer,NSCLC_GSE131907,Mono/Macro,0.0,False
TMPRSS2,Lung cancer,NSCLC_GSE131907,Mast,0.0,False
TMPRSS2,Lung cancer,NSCLC_GSE131907,Endothelial,0.0,False
TMPRSS2,Lung cancer,NSCLC_GSE131907,Fibroblasts,0.01,False
TMPRSS2,Lung cancer,NSCLC_GSE131907,Epithelial,0.27,False
TMPRSS2,Lung cancer,NSCLC_GSE131907,Oligodendrocyte,0.01,False
KRT6A,Lung cancer,NSCLC_GSE131907,CD4Tconv,0.0,True
KRT6A,Lung cancer,NSCLC_GSE131907,CD8T,0.01,True
KRT6A,Lung cancer,NSCLC_GSE131907,CD8Tex,0.01,True
KRT6A,Lung cancer,NSCLC_GSE131907,B,0.0,True
KRT6A,Lung cancer,NSCLC_GSE131907,Plasma,0.01,True
KRT6A,Lung cancer,NSCLC_GSE131907,DC,0.01,True
KRT6A,Lung cancer,NSCLC_GSE131907,Mono/Macro,0.01,True
KRT6A,Lung cancer,NSCLC_GSE131907,Mast,0.01,True
KRT6A,Lung cancer,NSCLC_GSE131907,Endothelial,0.0,True
KRT6A,Lung cancer,NSCLC_GSE131907,Fibroblasts,0.01,True
KRT6A,Lung cancer,NSCLC_GSE131907,Epithelial,0.48,True
KRT6A,Lung cancer,NSCLC_GSE131907,Oligodendrocyte,0.01,True
CTSG,Lung cancer,NSCLC_GSE131907,CD4Tconv,0.01,True
CTSG,Lung cancer,NSCLC_GSE131907,CD8T,0.01,True
CTSG,Lung cancer,NSCLC_GSE131907,CD8Tex,0.01,True
CTSG,Lung cancer,NSCLC_GSE131907,B,0.01,True
CTSG,Lung cancer,NSCLC_GSE131907,Plasma,0.03,True
CTSG,Lung cancer,NSCLC_GSE131907,DC,0.03,True
CTSG,Lung cancer,NSCLC_GSE131907,Mono/Macro,0.02,True
CTSG,Lung cancer,NSCLC_GSE131907,Mast,2.21,True
CTSG,Lung cancer,NSCLC_GSE131907,Endothelial,0.02,True
CTSG,Lung cancer,NSCLC_GSE131907,Fibroblasts,0.02,True
CTSG,Lung cancer,NSCLC_GSE131907,Epithelial,0.01,True
CTSG,Lung cancer,NSCLC_GSE131907,Oligodendrocyte,0.0,True
LIFR,Lung cancer,NSCLC_GSE131907,CD4Tconv,0.0,True
LIFR,Lung cancer,NSCLC_GSE131907,CD8T,0.0,True
LIFR,Lung cancer,NSCLC_GSE131907,CD8Tex,0.0,True
LIFR,Lung cancer,NSCLC_GSE131907,B,0.0,True
LIFR,Lung cancer,NSCLC_GSE131907,Plasma,0.0,True
LIFR,Lung cancer,NSCLC_GSE131907,DC,0.0,True
LIFR,Lung cancer,NSCLC_GSE131907,Mono/Macro,0.0,True
LIFR,Lung cancer,NSCLC_GSE131907,Mast,0.0,True
LIFR,Lung cancer,NSCLC_GSE131907,Endothelial,0.58,True
LIFR,Lung cancer,NSCLC_GSE131907,Fibroblasts,0.09,True
LIFR,Lung cancer,NSCLC_GSE131907,Epithelial,0.07,True
LIFR,Lung cancer,NSCLC_GSE131907,Oligodendrocyte,0.2,True
SYN1,Prostate cancer,PRAD_GSE141445,CD8Tex,0.0,False
SYN1,Prostate cancer,PRAD_GSE141445,B,0.0,False
SYN1,Prostate cancer,PRAD_GSE141445,Mono/Macro,0.04,False
SYN1,Prostate cancer,PRAD_GSE141445,Mast,0.0,False
SYN1,Prostate cancer,PRAD_GSE141445,Endothelial,0.01,False
SYN1,Prostate cancer,PRAD_GSE141445,Fibroblasts,0.04,False
SYN1,Prostate cancer,PRAD_GSE141445,Epithelial,0.0,False
SYN1,Prostate cancer,PRAD_GSE141445,Malignant,0.0,False
DOCK1,Small-cell lung cancer,SCLC_GSE150766,CD4Tconv,0.0,False
DOCK1,Small-cell lung cancer,SCLC_GSE150766,CD8Tex,0.0,False
DOCK1,Small-cell lung cancer,SCLC_GSE150766,NK,0.0,False
DOCK1,Small-cell lung cancer,SCLC_GSE150766,B,0.0,False
DOCK1,Small-cell lung cancer,SCLC_GSE150766,Mono/Macro,0.01,False
DOCK1,Small-cell lung cancer,SCLC_GSE150766,Malignant,0.01,False
