"Cancer_Type","Dataset","Regulation","Input_Class","Selection_Criterion","Input_Gene_Count","Correction_Method","Domain_Scope","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,0.000377840250141798,98,24,5,0.208333333333333,0.0510204081632653,"KEGG:04061","KEGG","Viral protein interaction with cytokine and cytokine receptor",8716,261,"KEGG:00000"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,0.00691513166740871,291,24,6,0.25,0.0206185567010309,"KEGG:04060","KEGG","Cytokine-cytokine receptor interaction",8716,260,"KEGG:00000"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,0.0383289931317799,399,24,6,0.25,0.0150375939849624,"KEGG:04519","KEGG","Cadherin signaling",8716,328,"KEGG:00000"
"Prostate cancer","GSE279730","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",505,"g_SCS","annotated","query_1",TRUE,3.81240867612252e-05,367,165,23,0.139393939393939,0.0626702997275204,"KEGG:04080","KEGG","Neuroactive ligand-receptor interaction",8716,270,"KEGG:00000"
"Prostate cancer","GSE279730","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",505,"g_SCS","annotated","query_1",TRUE,0.00051923595928304,199,165,15,0.0909090909090909,0.0753768844221105,"KEGG:04082","KEGG","Neuroactive ligand signaling",8716,272,"KEGG:00000"
"Prostate cancer","GSE279730","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",505,"g_SCS","annotated","query_1",TRUE,0.00103211204076448,41,165,7,0.0424242424242424,0.170731707317073,"KEGG:05033","KEGG","Nicotine addiction",8716,437,"KEGG:00000"
"Prostate cancer","GSE279730","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",505,"g_SCS","annotated","query_1",TRUE,0.00153890351574067,78,165,9,0.0545454545454545,0.115384615384615,"KEGG:04721","KEGG","Synaptic vesicle cycle",8716,364,"KEGG:00000"
"Prostate cancer","GSE279730","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",505,"g_SCS","annotated","query_1",TRUE,0.0275139593415651,89,165,8,0.0484848484848485,0.0898876404494382,"KEGG:05032","KEGG","Morphine addiction",8716,436,"KEGG:00000"
"Small-cell lung cancer","GSE188705","Upregulated","Exploratory_Candidates","Raw P < 0.05; |log2FC| >= 0.5",130,"g_SCS","annotated","query_1",TRUE,0.0365274402553025,267,46,7,0.152173913043478,0.0262172284644195,"KEGG:05012","KEGG","Parkinson disease",8716,428,"KEGG:00000"
"Small-cell lung cancer","GSE188705","Downregulated","Exploratory_Candidates","Raw P < 0.05; |log2FC| >= 0.5",67,"g_SCS","annotated","query_1",TRUE,0.0413683267062373,75,20,3,0.15,0.04,"KEGG:04115","KEGG","p53 signaling pathway",8716,278,"KEGG:00000"
